frame,Si1_idx,O_idx,Si2_idx,angle_deg
100,4,76,27,159.37260508924595
100,4,124,28,133.67522716249024
100,5,77,29,148.66172538233727
100,5,125,26,158.11415779650315
100,6,78,26,137.9803076215494
100,6,102,30,152.60010169985443
100,6,126,29,161.46841594282225
100,7,79,28,137.71655589794304
100,7,103,31,158.82291500081084
100,7,127,27,138.03877056181088
100,8,80,35,143.93883103025414
100,8,104,27,147.75496625172607
100,8,128,32,151.27129215150293
100,9,57,13,141.51683503444855
100,9,81,33,145.60356023242602
100,9,105,28,144.61756097882673
100,9,129,34,150.9272129510583
100,10,82,34,134.1000318912796
100,10,106,29,148.92899358102977
100,10,130,33,134.15316700355243
100,11,83,32,129.98547827523916
100,11,107,26,146.8730363353536
100,11,131,35,140.95503241972227
100,12,84,20,167.7630358257951
100,12,108,25,135.64717913922507
100,13,91,16,126.61967817348288
100,13,115,21,138.159089217983
100,14,60,27,131.72986775986357
100,15,61,26,118.76219222017531
100,16,62,28,144.905234360704
100,17,63,29,122.74160013642866
100,18,64,35,153.68110662304025
100,19,65,34,127.07375776872493
100,20,66,32,127.65411883877081
100,21,67,33,157.5373170799736
100,23,69,31,122.7860333868576
100,25,71,30,131.27825171559243
110,0,96,35,140.80565592799553
110,1,49,12,136.4537861410314
110,1,73,30,131.9943530295149
110,1,97,32,141.76736254175054
110,1,121,31,139.25944813120887
110,2,74,31,142.36231334409243
110,2,98,33,151.02956782078093
110,2,122,30,160.8378154976714
110,3,99,34,144.7508131845169
110,4,76,27,154.98004927561183
110,4,124,28,136.83544676711827
110,5,77,29,157.53685550446775
110,5,125,26,147.16551513048137
110,6,78,26,139.90412571586668
110,6,102,30,155.8938373967972
110,6,126,29,153.09415361287552
110,7,79,28,131.64148053753982
110,7,103,31,137.72476653341596
110,7,127,27,129.7858406379779
110,8,80,35,147.23932312515066
110,8,104,27,143.74237630251034
110,8,128,32,148.58775571423354
110,9,57,13,128.23002171384206
110,9,81,33,144.9969514306308
110,9,105,28,163.30256591402306
110,9,129,34,143.93718490328231
110,10,82,34,139.71027302603127
110,10,106,29,148.9039455183113
110,10,130,33,142.48416356402709
110,11,83,32,131.68573492920967
110,11,107,26,145.3859888176974
110,11,131,35,145.80946717036826
110,12,84,20,157.95158984329004
110,12,108,25,136.27179420779711
110,13,91,16,136.6438847234075
110,13,115,21,132.51597453091907
110,14,60,27,130.02496070528764
110,15,61,26,128.2920346920456
110,16,62,28,137.31795447196143
110,17,63,29,132.4684276402952
110,18,64,35,144.0497374234389
110,19,65,34,122.69431643220025
110,20,66,32,139.130455950855
110,21,67,33,143.59469668789933
110,23,69,31,140.11257588302664
110,25,71,30,132.47413276546095
